"LabCode/Ref","Site (from main datasheet + 14c-palaeolithic)","Site_ID (from main datasheet)","Layer/Context (from main datasheet)","Additional info on layer/context not originally in the datasheet","TaxUnit (from main datasheet)","Conv_C14_date","Conv_std","AMS_C14_date","AMS_Pm/Std","OSL/TL date","Std-dev","Dated material","Dated species","Informaton on pretreatment","Source (Database/Literature)","Org. Lit. Reference (if given)","Other comments/observation",
"Poz-14463","Wilczyce 10","Wilczyce10",,,"Late Magdalenian",,,12550,80,,,"tooth",,,"Radiocarbon Palaeolithic Europe Database v27","Fiedorczuk J. & Schild R. 2002. Recent Studies in the Final Palaeolithic of the European plain: 91-108. Fiedorczuk J. e.a. 2007. Antiquity 81: 97-105. Irish J.D. e.a.  JHE 55 (2008) 736-740, Schild, R., 2014. Taphonomy and chronology of the settlement",,
"OxA-26546","Wilczyce 10","Wilczyce10",,,"Late Magdalenian",,,13125,65,,,"tooth",,,"Radiocarbon Palaeolithic Europe Database v27","Fiedorczuk J. & Schild R. 2002. Recent Studies in the Final Palaeolithic of the European plain: 91-108. Fiedorczuk J. e.a. 2007. Antiquity 81: 97-105. Irish J.D. e.a.  JHE 55 (2008) 736-740, Schild, R., 2014. Taphonomy and chronology of the settlement",,
"OxA-16728","Wilczyce 10","Wilczyce10",,,"Late Magdalenian",,,13180,60,,,"tooth ",,,"Radiocarbon Palaeolithic Europe Database v27","Fiedorczuk J. & Schild R. 2002. Recent Studies in the Final Palaeolithic of the European plain: 91-108. Fiedorczuk J. e.a. 2007. Antiquity 81: 97-105. Irish J.D. e.a.  JHE 55 (2008) 736-740, Schild, R., 2014. Taphonomy and chronology of the settlement","from a necklace from the infant",
"OxA-4986","Sun Hole (2)","SunHole",,,"Late? Upper Palaeolithic (Creswellian)",,,11530,120,,,"tooth, M1",,,"Radiocarbon Palaeolithic Europe Database v27","Richards M., Hedges R. 2000. JAS 27: 1-89. Otte M., 1997. In Fagnart & Thevenin, Le Tardiglaciaire en Europe du Nord-ouest: 363. Jacobi R.M.2009. QSR 28: 1895-1913."," from M5.2/14.0",
"Bln-3215","Friesack 27a","Friesack27a",,"(Schichtkomplexe 3-1)","Maglemose",,,9400,70,,,"Torf",,,"Groß 2014","Groß 2014",,
"OxA-27207","Flixton II",,,,"Late? Upper Palaeolithic, Long Blade",,,9975,45,,,"Twig","Willow",,"Radiocarbon Palaeolithic Europe Database v27","http://intarch.ac.uk/journal/issue42/12/table1.html,  Conneller C. 2007. OXFORD JOURNAL OF ARCHAEOLOGY 26(3) 215-237. Jacobi R.M. e.a. 2009. QSR 28: 1895-1913.","Waterlogged willow twig from peat [1010] containing horse remains",
"H-136/116","Poggenwisch D","Poggenwisch",,,"Classic Hamburgian",12980,370,,,,,"twigs",,,"Radiocarbon Palaeolithic Europe Database v27","Lanting J.N.,Van der Plicht J., I996, De 14 C-Chronologie van de Nederlandse Pre-en Protohistorie, I: Laat-Palaeolithicum. Palaeohistoria 37/38: 7I-125.Hamburgian. Valentin B. 2007. http://lara.inist.fr/bitstream/2332/1360/1/PCRTardi2007.pdf;",,
"H-136/116","Poggenwisch D","Poggenwisch",,,"Classic Hamburgian",12980,370,,,,,"twigs",,,"Radiocarbon Palaeolithic Europe Database v27","Lanting J.N.,Van der Plicht J., I996, De 14 C-Chronologie van de Nederlandse Pre-en Protohistorie, I: Laat-Palaeolithicum. Palaeohistoria 37/38: 7I-125.Hamburgian. Valentin B. 2007. http://lara.inist.fr/bitstream/2332/1360/1/PCRTardi2007.pdf;",,
"H-136/116","Poggenwisch D","Poggenwisch",,,"Classic Hamburgian",12980,370,,,,,"twigs",,,"Radiocarbon Palaeolithic Europe Database v27","Lanting J.N.,Van der Plicht J., I996, De 14 C-Chronologie van de Nederlandse Pre-en Protohistorie, I: Laat-Palaeolithicum. Palaeohistoria 37/38: 7I-125.Hamburgian. Valentin B. 2007. http://lara.inist.fr/bitstream/2332/1360/1/PCRTardi2007.pdf;",,
"GrN-11254","Poggenwisch D","Poggenwisch",,,"Classic Hamburgian",12460,60,,,,,"twigs ",,,"Radiocarbon Palaeolithic Europe Database v27","Lanting J.N.,Van der Plicht J., I996, De 14 C-Chronologie van de Nederlandse Pre-en Protohistorie, I: Laat-Palaeolithicum. Palaeohistoria 37/38: 7I-125.Hamburgian. Valentin B. 2007. http://lara.inist.fr/bitstream/2332/1360/1/PCRTardi2007.pdf;","same sample as H-I36/116",
"GrN-11254","Poggenwisch D","Poggenwisch",,,"Classic Hamburgian",12460,60,,,,,"twigs ",,,"Radiocarbon Palaeolithic Europe Database v27","Lanting J.N.,Van der Plicht J., I996, De 14 C-Chronologie van de Nederlandse Pre-en Protohistorie, I: Laat-Palaeolithicum. Palaeohistoria 37/38: 7I-125.Hamburgian. Valentin B. 2007. http://lara.inist.fr/bitstream/2332/1360/1/PCRTardi2007.pdf;","same sample as H-I36/116",
"GrN-11254","Poggenwisch D","Poggenwisch",,,"Classic Hamburgian",12460,60,,,,,"twigsx",,,"Radiocarbon Palaeolithic Europe Database v27","Lanting J.N.,Van der Plicht J., I996, De 14 C-Chronologie van de Nederlandse Pre-en Protohistorie, I: Laat-Palaeolithicum. Palaeohistoria 37/38: 7I-125.Hamburgian. Valentin B. 2007. http://lara.inist.fr/bitstream/2332/1360/1/PCRTardi2007.pdf;"," same sample as H-I36/116",
"AAR-4539","Bromme","Bromme",,,"Brommean",,,10720,90,,,"unmodified lumbar vertebra ","elk ",,"Radiocarbon Palaeolithic Europe Database v27","Terbergen et al. 2004. Eiszeitalter un Gegenwart 54: 138-175.","from the lower layer",
"Poz-14892","Wilczyce 10","Wilczyce10",,,"Late Magdalenian",,,12770,120,,,"very small charcoal fragment (minimal age)","pine",,"Radiocarbon Palaeolithic Europe Database v27","Fiedorczuk J. & Schild R. 2002. Recent Studies in the Final Palaeolithic of the European plain: 91-108. Fiedorczuk J. e.a. 2007. Antiquity 81: 97-105. Irish J.D. e.a.  JHE 55 (2008) 736-740, Schild, R., 2014. Taphonomy and chronology of the settlement",,
"KN-5845","Friesack 27a","Friesack27a",,"(Schichtkomplexe 3-1)","Maglemose",,,9458,64,,,"Wood","Pinus",,"Groß 2014","Groß 2014",,
"KN-5846","Friesack 27a","Friesack27a",,"(Schichtkomplexe 3-1)","Maglemose",,,9400,60,,,"Wood",,,"Groß 2014","Groß 2014",,
"K-1315","Klosterlund","Klosterlund",,,"Maglemose",8920,140,,,,,"wood","pinus",,"CALPAL Database","Copenhagen datelist 10, p.88 (Radiocarbon, 15 (1973): 86-112); ",,
"K-1316","Klosterlund","Klosterlund",,,"Maglemose",9140,150,,,,,"wood","pinus",,"CALPAL Database","Copenhagen datelist 10, p.88 (Radiocarbon, 15 (1973): 86-112); ",,
"K-1452","Klosterlund","Klosterlund",,,"Maglemose",9200,140,,,,,"wood","pinus",,"CALPAL Database","Copenhagen datelist 10, p.88 (Radiocarbon, 15 (1973): 86-112); ",,
"K-1317","Klosterlund","Klosterlund",,,"Maglemose",9230,150,,,,,"wood","pinus",,"CALPAL Database","Copenhagen datelist 10, p.88 (Radiocarbon, 15 (1973): 86-112); ",,
"HAR-259","Sproughton","Sproughton","in low energy sands and gravels sealed by peat",,"Long Blade Industries/Epi-Ahrensburgian (FBBT)",9888,120,,,,,"Wood","Willow",,"Barton and Roberts 2020","Barton and Roberts 2020",,
"GrA-17715","Mirkowice 33","Mirkowice33",,,"Hamburgian",12290,70,,,,,"bone",,,"Radiocarbon Palaeolithic Europe Database v27","Chlodnicki M.&Kabacinski J. 1997 Mirkowice-another settlement of the hamburgian culture at the Polish Plain. (in.) Przeglad Archeologiczny t.45: 5-23","stratigraphic association only",
"KN-5848","Friesack 27a","Friesack27a",,"(Schichtkomplexe 3-1)","Maglemose",,,9545,50,,,"Wood, Charcoal","Pinus",,"Groß 2014","Groß 2014",,
"OxA-5745","Abri Schweizersbild","AbriSchweizersbild","Untere Fundschicht",,"Late Magdalenian/Technokomplex E",,,13940,100,,,"worked and plished long bone fragment",,,"Radiocarbon Palaeolithic Europe Database v27","Höneisen, M. & Peyer, S. 1994",,
"OxA-2155","Kent's Cavern","KentsCavern","Black band and cave earth",,"Late? Upper Palaeolithic (Creswellian)",,,11650,130,,,"worked ivory rood",,,"Radiocarbon Palaeolithic Europe Database v27","Archaeometry, datelist 13",,
,"Aarup","Aarup,Aarup1,Aarup2","1/2",,"Maglemose",9465,105,,,,,,,,"Hanlon et al. 2002","Hanlon et al. 2002",,
,"Aarup","Aarup,Aarup1,Aarup2","1/2",,"Maglemose",9390,65,,,,,,,,"Hanlon et al. 2002","Hanlon et al. 2002",,
"?","Abri des Douattes","Douattes","US 20,26,28 ","(ouest F22)","Upper Magdalenian",12660,80,,,,,,,,,"Mevel 2017","Correlation with ""US"" contexts unclear",
"?","Abri des Douattes","Douattes","US 20,26,28 ","(c7 Ad. Jayet)","Upper Magdalenian",12480,260,,,,,,,,,"Mevel 2017","Correlation with ""US"" contexts unclear",
"?","Abri des Douattes","Douattes","US 20,26,28","(est c5)","Upper Magdalenian",12340,70,,,,,,,,,"Mevel 2017","Correlation with ""US"" contexts unclear",
"ETH-42022","Bad Buchau-Kappel","BadBuchauKappel",,"(SE 4a); verlagerte Elemente, Zuordnung schwierig","Late Palaeolithic",10025,40,,,,,,,,,"Jochim et al. 2015",,
"Ly-4897","Balma Margineda","NA","Units 8-10",,"Azilian",11180,150,,,,,,,,"Radiocarbon Palaeolithic Europe Database v27","Martinez-Moreno J. e.a. TP 66: 45-60.",,
"Ly-5417","Balma Margineda","NA","Units 8-10",,"Azilian",11130,140,,,,,,,,"Radiocarbon Palaeolithic Europe Database v27","Martinez-Moreno J. e.a. TP 66: 45-60.",,
"Ly-5414","Balma Margineda","NA","Units 8-10",,"Azilian",11510,100,,,,,,,,"Radiocarbon Palaeolithic Europe Database v27","Martinez-Moreno J. e.a. TP 66: 45-60.",,
"Ly-5413","Balma Margineda","NA","Units 8-10",,"Azilian",11560,230,,,,,,,,"Radiocarbon Palaeolithic Europe Database v27","Martinez-Moreno J. e.a. TP 66: 45-60.",,
"Ly-4406","Balma Margineda","NA","Units 8-10",,"Azilian",10760,120,,,,,,,,"Radiocarbon Palaeolithic Europe Database v27","Martinez-Moreno J. e.a. TP 66: 45-60.",,
"Ly-4894","Balma Margineda","NA","Units 8-10",,"Magdalenian",11090,170,,,,,,,,"Radiocarbon Palaeolithic Europe Database v27","Utrilla P. e.a. 2012. QI",,
"Ly-5415","Balma Margineda","NA","Units 8-10",,"Magdalenian",11500,150,,,,,,,,"Radiocarbon Palaeolithic Europe Database v27","Utrilla P. e.a. 2012. QI",,
"PoZ-3938","Bierden 30 & 31","NA",,,"Maglemose",,,9620,50,,,,,,"Gerken 2011","Gerken 2011",,
"AAR-15901","Bierden 30 & 31","NA",,,"Maglemose",,,9586,41,,,,,,"Gerken 2011","Gerken 2011",,
"Beta-142284","Cendres","NA","Unit IX",,"Final Magdalenian",,,12470,100,,,,,,"Radiocarbon Palaeolithic Europe Database v27","Villaverde Bonilla V. e.a. 2012. QI","from layer Xa ? (Journal of World Prehistory 12, 1998: 121-198,)",
"D-AMS-024761","Chaves","NA","Niveles 2b y 1c",,"Solutrean iberique (points à cran), Upper Solutrean",,,12480,53,,,,,,"Radiocarbon Palaeolithic Europe Database v27","Utrilla P.,"" El Final del paleolitica Cantribicio. Santander 1995. P. Utrilla ""Aragoie/Litoral In: P. Utriua Arapois-litoral… https://sites.google.com/ehu.eus/c14peninsulaiberica/dataciones-14",,
"UtC-13419","Colbricon 9","NA",,,"Early Sauveterrian ",,,9730,60,,,,,,"Radiocarbon Palaeolithic Europe Database v27","Naudinot N.e.a. 2014. JAS ip.",,
"K-1139","Draved","Drave611",611,,"Maglemose",9250,180,,,,,,,,"Sobotta 1991","Sobotta 1991",,
"K-790","Draved","Drave611",611,,"Maglemose",8990,140,,,,,,,,"Sobotta 1991","Sobotta 1991",,
"KI-1818","Duvensee WP8","DuvenseeWP8",,,"Maglemose",9640,100,,,,,,,,"Bokelmann et al. 1981","Bokelmann et al. 1981",,
"KI-1819","Duvensee WP8","DuvenseeWP8",,,"Maglemose",9410,110,,,,,,,,"Bokelmann et al. 1981","Bokelmann et al. 1981",,
"I-9239","Ekain","NA","Ivbase/V",,"Azilian",9480,185,,,,,,,,"Radiocarbon Palaeolithic Europe Database v27",,,
"CSIC-172","Ekain","NA","Ivbase/V",,"Azilian",13350,250,,,,,,,,"Radiocarbon Palaeolithic Europe Database v27","Adan Alvarez G. 2005. L'Anthropologie 109: 499-519.",,
"ETH4053","Elsbethen","Elsbethen","Grabung 1: 3a / Grabungs 2: 5b-6a","Grabung 2, Schicht 5","Aziloid Alps",11620,145,,,,,,,,"Rettenbacher 1998","Rettenbacher 1998",,
"ETH4054","Elsbethen","Elsbethen","Grabung 1: 3a / Grabungs 2: 5b-6a","Grabung 1, Schicht 2","Aziloid Alps",11180,125,,,,,,,,"Rettenbacher 1998","Rettenbacher 1998",,
"OxA-6428","Felsställe","Felsstalle","IIIb-IIIa","IIIb","Magdalenian",,,12505,80,,,,,,,"Béreiziat 2020",,
"OxA-6426","Felsställe","Felsstalle","IIIb-IIIa","IIIb","Magdalenian",,,12475,80,,,,,,,"Béreiziat 2021",,
"OxA-6328","Flixton II",,,,"Late? Upper Palaeolithic, Long Blade",,,10150,90,,,,"Equus ferus",,"Radiocarbon Palaeolithic Europe Database v27","http://intarch.ac.uk/journal/issue42/12/table1.html,  Conneller C. 2007. OXFORD JOURNAL OF ARCHAEOLOGY 26(3) 215-237. Jacobi R.M. e.a. 2009. QSR 28: 1895-1913.",,
"OxA-2395-14","Flixton II",,,,"Late? Upper Palaeolithic, Long Blade",,,10155,55,,,,"Equus ferus",,"Radiocarbon Palaeolithic Europe Database v27","http://intarch.ac.uk/journal/issue42/12/table1.html,  Conneller C. 2007. OXFORD JOURNAL OF ARCHAEOLOGY 26(3) 215-237. Jacobi R.M. e.a. 2009. QSR 28: 1895-1913.",,
"OxA-6318","Flixton II",,,,"Late? Upper Palaeolithic, Long Blade",,,10090,90,,,,"Equus ferus",,"Radiocarbon Palaeolithic Europe Database v27","http://intarch.ac.uk/journal/issue42/12/table1.html,  Conneller C. 2007. OXFORD JOURNAL OF ARCHAEOLOGY 26(3) 215-237. Jacobi R.M. e.a. 2009. QSR 28: 1895-1913.",,
"OxA-6329","Flixton II",,,,"Late? Upper Palaeolithic, Long Blade",,,9160,1800,,,,,,"Radiocarbon Palaeolithic Europe Database v27","http://intarch.ac.uk/journal/issue42/12/table1.html,  Conneller C. 2007. OXFORD JOURNAL OF ARCHAEOLOGY 26(3) 215-237. Jacobi R.M. e.a. 2009. QSR 28: 1895-1913.",,
"OxA-6319","Flixton II",,,,"Late? Upper Palaeolithic, Long Blade",,,10150,80,,,,"Equus ferus",,"Radiocarbon Palaeolithic Europe Database v27","http://intarch.ac.uk/journal/issue42/12/table1.html,  Conneller C. 2007. OXFORD JOURNAL OF ARCHAEOLOGY 26(3) 215-237. Jacobi R.M. e.a. 2009. QSR 28: 1895-1913.",,
"Bln-3001","Friesack 4 (Schichtkomplex 1)","NA","Layer complex 1",,"Epi Ahrensburgian",9580,60,,,,,,,,"Radiocarbon Palaeolithic Europe Database v27","Gob 1990. Yates A.B. e.a. 2015. JAS 61: 45-58. J Meadows et al. Radiocarbon, Vol 60, Nr 5, 2018, p 1621-1636,",,
"Bln-3026","Friesack 4",,,,"Epi Ahrensburgian",9670,60,,,,,,,,"Radiocarbon Palaeolithic Europe Database v27","Gob 1990. Yates A.B. e.a. 2015. JAS 61: 45-58. J Meadows et al. Radiocarbon, Vol 60, Nr 5, 2018, p 1621-1636,",,
"Bln-3036","Friesack 4",,,,"Epi Ahrensburgian",9680,70,,,,,,,,"Radiocarbon Palaeolithic Europe Database v27","Gob 1990. Yates A.B. e.a. 2015. JAS 61: 45-58. J Meadows et al. Radiocarbon, Vol 60, Nr 5, 2018, p 1621-1636,",,
"Bln-3036","Friesack 4",,,,"Epi Ahrensburgian",9680,70,,,,,,,,"Radiocarbon Palaeolithic Europe Database v27","Gob 1990. Yates A.B. e.a. 2015. JAS 61: 45-58. J Meadows et al. Radiocarbon, Vol 60, Nr 5, 2018, p 1621-1636,",,
"Bln-3036","Friesack 4",,,,"Epi Ahrensburgian",9680,70,,,,,,,,"Radiocarbon Palaeolithic Europe Database v27","Gob 1990. Yates A.B. e.a. 2015. JAS 61: 45-58. J Meadows et al. Radiocarbon, Vol 60, Nr 5, 2018, p 1621-1636,",,
"Bln-3036","Friesack 4",,,,"Epi Ahrensburgian",9680,70,,,,,,,,"Radiocarbon Palaeolithic Europe Database v27","Gob 1990. Yates A.B. e.a. 2015. JAS 61: 45-58. J Meadows et al. Radiocarbon, Vol 60, Nr 5, 2018, p 1621-1636,",,
"Bln-2761","Friesack 4",,,,"Epi Ahrensburgian",9560,100,,,,,,,,"Radiocarbon Palaeolithic Europe Database v27","Gob 1990. Yates A.B. e.a. 2015. JAS 61: 45-58. J Meadows et al. Radiocarbon, Vol 60, Nr 5, 2018, p 1621-1636,",,
"Bln-2761","Friesack 4",,,,"Epi Ahrensburgian",9560,100,,,,,,,,"Radiocarbon Palaeolithic Europe Database v27","Gob 1990. Yates A.B. e.a. 2015. JAS 61: 45-58. J Meadows et al. Radiocarbon, Vol 60, Nr 5, 2018, p 1621-1636,",,
"Bln-2761","Friesack 4",,,,"Epi Ahrensburgian",9560,100,,,,,,,,"Radiocarbon Palaeolithic Europe Database v27","Gob 1990. Yates A.B. e.a. 2015. JAS 61: 45-58. J Meadows et al. Radiocarbon, Vol 60, Nr 5, 2018, p 1621-1636,",,
"Bln-3001","Friesack 4",,,,"Epi Ahrensburgian",9580,60,,,,,,,,"Radiocarbon Palaeolithic Europe Database v27","Gob 1990. Yates A.B. e.a. 2015. JAS 61: 45-58. J Meadows et al. Radiocarbon, Vol 60, Nr 5, 2018, p 1621-1636,",,
"Bln-2751","Friesack 4",,,,"Epi Ahrensburgian",9450,100,,,,,,,,"Radiocarbon Palaeolithic Europe Database v27","Gob 1990. Yates A.B. e.a. 2015. JAS 61: 45-58. J Meadows et al. Radiocarbon, Vol 60, Nr 5, 2018, p 1621-1636,",,
"Bln-2751","Friesack 4",,,,"Epi Ahrensburgian",9450,100,,,,,,,,"Radiocarbon Palaeolithic Europe Database v27","Gob 1990. Yates A.B. e.a. 2015. JAS 61: 45-58. J Meadows et al. Radiocarbon, Vol 60, Nr 5, 2018, p 1621-1636,",,
"Bln-2751","Friesack 4",,,,"Epi Ahrensburgian",9450,100,,,,,,,,"Radiocarbon Palaeolithic Europe Database v27","Gob 1990. Yates A.B. e.a. 2015. JAS 61: 45-58. J Meadows et al. Radiocarbon, Vol 60, Nr 5, 2018, p 1621-1636,",,
"Bln-2751","Friesack 4",,,,"Epi Ahrensburgian",9450,100,,,,,,,,"Radiocarbon Palaeolithic Europe Database v27","Gob 1990. Yates A.B. e.a. 2015. JAS 61: 45-58. J Meadows et al. Radiocarbon, Vol 60, Nr 5, 2018, p 1621-1636,",,
"Bln-1914","Friesack 4",,,,"Epi Ahrensburgian",9450,65,,,,,,,,"Radiocarbon Palaeolithic Europe Database v27","Gob 1990. Yates A.B. e.a. 2015. JAS 61: 45-58. J Meadows et al. Radiocarbon, Vol 60, Nr 5, 2018, p 1621-1636,",,
"Bln-1914","Friesack 4",,,,"Epi Ahrensburgian",9450,65,,,,,,,,"Radiocarbon Palaeolithic Europe Database v27","Gob 1990. Yates A.B. e.a. 2015. JAS 61: 45-58. J Meadows et al. Radiocarbon, Vol 60, Nr 5, 2018, p 1621-1636,",,
"Bln-1914","Friesack 4",,,,"Epi Ahrensburgian",9450,65,,,,,,,,"Radiocarbon Palaeolithic Europe Database v27","Gob 1990. Yates A.B. e.a. 2015. JAS 61: 45-58. J Meadows et al. Radiocarbon, Vol 60, Nr 5, 2018, p 1621-1636,",,
"Bln-1914","Friesack 4",,,,"Epi Ahrensburgian",9450,65,,,,,,,,"Radiocarbon Palaeolithic Europe Database v27","Gob 1990. Yates A.B. e.a. 2015. JAS 61: 45-58. J Meadows et al. Radiocarbon, Vol 60, Nr 5, 2018, p 1621-1636,",,
"Bln-2761","Friesack 4",,,,"Epi Ahrensburgian",9560,100,,,,,,,,"Radiocarbon Palaeolithic Europe Database v27","Gob 1990. Yates A.B. e.a. 2015. JAS 61: 45-58. J Meadows et al. Radiocarbon, Vol 60, Nr 5, 2018, p 1621-1636,",,
"Bln-3026","Friesack 4",,,,"Epi Ahrensburgian",9670,60,,,,,,,,"Radiocarbon Palaeolithic Europe Database v27","Gob 1990. Yates A.B. e.a. 2015. JAS 61: 45-58. J Meadows et al. Radiocarbon, Vol 60, Nr 5, 2018, p 1621-1636,",,
"Bln-3019","Friesack 4",,,,"Epi Ahrensburgian",9640,70,,,,,,,,"Radiocarbon Palaeolithic Europe Database v27","Gob 1990. Yates A.B. e.a. 2015. JAS 61: 45-58. J Meadows et al. Radiocarbon, Vol 60, Nr 5, 2018, p 1621-1636,",,
"Bln-3026","Friesack 4",,,,"Epi Ahrensburgian",9670,60,,,,,,,,"Radiocarbon Palaeolithic Europe Database v27","Gob 1990. Yates A.B. e.a. 2015. JAS 61: 45-58. J Meadows et al. Radiocarbon, Vol 60, Nr 5, 2018, p 1621-1636,",,
"Bln-3019","Friesack 4",,,,"Epi Ahrensburgian",9640,70,,,,,,,,"Radiocarbon Palaeolithic Europe Database v27","Gob 1990. Yates A.B. e.a. 2015. JAS 61: 45-58. J Meadows et al. Radiocarbon, Vol 60, Nr 5, 2018, p 1621-1636,",,
"Bln-3019","Friesack 4",,,,"Epi Ahrensburgian",9640,70,,,,,,,,"Radiocarbon Palaeolithic Europe Database v27","Gob 1990. Yates A.B. e.a. 2015. JAS 61: 45-58. J Meadows et al. Radiocarbon, Vol 60, Nr 5, 2018, p 1621-1636,",,
"Bln-3020","Friesack 4",,,,"Epi Ahrensburgian",9640,60,,,,,,,,"Radiocarbon Palaeolithic Europe Database v27","Gob 1990. Yates A.B. e.a. 2015. JAS 61: 45-58. J Meadows et al. Radiocarbon, Vol 60, Nr 5, 2018, p 1621-1636,",,
"Bln-3020","Friesack 4",,,,"Epi Ahrensburgian",9640,60,,,,,,,,"Radiocarbon Palaeolithic Europe Database v27","Gob 1990. Yates A.B. e.a. 2015. JAS 61: 45-58. J Meadows et al. Radiocarbon, Vol 60, Nr 5, 2018, p 1621-1636,",,
"Bln-3020","Friesack 4",,,,"Epi Ahrensburgian",9640,60,,,,,,,,"Radiocarbon Palaeolithic Europe Database v27","Gob 1990. Yates A.B. e.a. 2015. JAS 61: 45-58. J Meadows et al. Radiocarbon, Vol 60, Nr 5, 2018, p 1621-1636,",,
"Bln-3001","Friesack 4",,,,"Epi Ahrensburgian",9580,60,,,,,,,,"Radiocarbon Palaeolithic Europe Database v27","Gob 1990. Yates A.B. e.a. 2015. JAS 61: 45-58. J Meadows et al. Radiocarbon, Vol 60, Nr 5, 2018, p 1621-1636,",,
"Bln-3020","Friesack 4",,,,"Epi Ahrensburgian",9640,60,,,,,,,,"Radiocarbon Palaeolithic Europe Database v27","Gob 1990. Yates A.B. e.a. 2015. JAS 61: 45-58. J Meadows et al. Radiocarbon, Vol 60, Nr 5, 2018, p 1621-1636,",,
"Bln-3001","Friesack 4",,,,"Epi Ahrensburgian",9580,60,,,,,,,,"Radiocarbon Palaeolithic Europe Database v27","Gob 1990. Yates A.B. e.a. 2015. JAS 61: 45-58. J Meadows et al. Radiocarbon, Vol 60, Nr 5, 2018, p 1621-1636,",,
"Bln-2756","Friesack 4",,,,"Epi Ahrensburgian",9630,100,,,,,,,,"Radiocarbon Palaeolithic Europe Database v27","Gob 1990. Yates A.B. e.a. 2015. JAS 61: 45-58. J Meadows et al. Radiocarbon, Vol 60, Nr 5, 2018, p 1621-1636,",,
"Bln-2756","Friesack 4",,,,"Epi Ahrensburgian",9630,100,,,,,,,,"Radiocarbon Palaeolithic Europe Database v27","Gob 1990. Yates A.B. e.a. 2015. JAS 61: 45-58. J Meadows et al. Radiocarbon, Vol 60, Nr 5, 2018, p 1621-1636,",,
"Bln-3026","Friesack 4",,,,"Epi Ahrensburgian",9670,60,,,,,,,,"Radiocarbon Palaeolithic Europe Database v27","Gob 1990. Yates A.B. e.a. 2015. JAS 61: 45-58. J Meadows et al. Radiocarbon, Vol 60, Nr 5, 2018, p 1621-1636,",,
"Bln-2756","Friesack 4",,,,"Epi Ahrensburgian",9630,100,,,,,,,,"Radiocarbon Palaeolithic Europe Database v27","Gob 1990. Yates A.B. e.a. 2015. JAS 61: 45-58. J Meadows et al. Radiocarbon, Vol 60, Nr 5, 2018, p 1621-1636,",,
"Bln-3019","Friesack 4",,,,"Epi Ahrensburgian",9640,70,,,,,,,,"Radiocarbon Palaeolithic Europe Database v27","Gob 1990. Yates A.B. e.a. 2015. JAS 61: 45-58. J Meadows et al. Radiocarbon, Vol 60, Nr 5, 2018, p 1621-1636,",,
"Bln-2756","Friesack 4",,,,"Epi Ahrensburgian",9630,100,,,,,,,,"Radiocarbon Palaeolithic Europe Database v27","Gob 1990. Yates A.B. e.a. 2015. JAS 61: 45-58. J Meadows et al. Radiocarbon, Vol 60, Nr 5, 2018, p 1621-1636,",,
"UZ-2284","Hauterive-Champréveyres (secteur 1)","HauteriveChampreveyres","secteur 1 ","(Foyer L23)","Older Azilian",12120,170,,,,,,,,"Leesch 1993","Leesch 1993","Correlation to ""secteur 1"" not certain",
"UZ-2170","Hauterive-Champréveyres (secteur 1)","HauteriveChampreveyres","secteur 1"," (Foyer E18)","Older Azilian",12550,130,,,,,,,,"Leesch 1993","Leesch 1993","Correlation to ""secteur 1"" not certain",
"Ly-1180","Hostim","Hostim",,,"Upper Magdalenian",12420,470,,,,,,,,"Radiocarbon Palaeolithic Europe Database v27","Djindjian F., J. Kozlowski & M. Otte 1999. Le Paleolithique superieur en Europe. Armand Colin, Paris. Svoboda J. e.a. 2002. Antiquity 76: 957-62.",,
"GrN-6204","Kent's Cavern","KentsCavern","Black band and cave earth",,"Late? Upper Palaeolithic (Creswellian)",12180,100,,,,,,,,"Radiocarbon Palaeolithic Europe Database v27","Archaeometry 31, 2 (1989) 207 - 234",,
"GrN-6204","Kent's Cavern","KentsCavern","Black band and cave earth",,"Late? Upper Palaeolithic (Creswellian)",12180,100,,,,,,,,"Radiocarbon Palaeolithic Europe Database v27","Archaeometry 31, 2 (1989) 207 - 234",,
"GrN-6204","Kent's Cavern","KentsCavern","Black band and cave earth",,"Late? Upper Palaeolithic (Creswellian)",12180,100,,,,,,,,"Radiocarbon Palaeolithic Europe Database v27","Archaeometry 31, 2 (1989) 207 - 234",,
"Poz-54822","Klementowice-Kolonia","Klementowice20",,,"Final Magdalenian",,,12730,90,,,,,,"Radiocarbon Palaeolithic Europe Database v27","Kozlowski J.K.&Kozlowski S,K. 1996 Le Paleolithique en Pologne. Wisniewski  e.a. 2012 QI, 10.1016/j.quaint.2012.06.032.","Cal PB: 13030-12692",
"Poz-102094","Krakow-Biezanow 20","KrakowBiezanow20assemblage1","assemblage 1",,"Swiderian",,,9770,50,,,,,,"Damian Stefanski pers. com.","unpublished",,
"GrN-28450","Kůlna Cave","Kulna4",4,,"Magdalenian, Epi-Magdalenian",11270,80,,,,,,,,"Radiocarbon Palaeolithic Europe Database v27","Valoch K.2001. Jahrbuch des Romisch-Germanischen Zentralmuseums Mainz 48: 103-162.. 311. Bronk Ramsey C. e.a. Archaeometry 57, 1 (2015) 177-216.  Nerudova Z. e.a. Archäologisches korrespondenzblatt 44 ·   2014; 372",,
